Odorscenes,activ 0,activ 1,activ 2,activ 3,activ 4,activ 5,activ 6,activ 7,activ 8,activ 9,activ 10,activ 11,activ 12,activ 13,activ 14,activ 15,activ 16,activ 17,activ 18,activ 19,activ 20,activ 21,activ 22,activ 23,activ 24,activ 25,activ 26,activ 27,activ 28,activ 29,occ 0,occ 1,occ 2,occ 3,occ 4,occ 5,occ 6,occ 7,occ 8,occ 9,occ 10,occ 11,occ 12,occ 13,occ 14,occ 15,occ 16,occ 17,occ 18,occ 19,occ 20,occ 21,occ 22,occ 23,occ 24,occ 25,occ 26,occ 27,occ 28,occ 29,odoAmt 0,odoAmt 1,odoAmt 2,odoAmt 3,odoAmt 4,odoAmt 5,odoAmt 6,odoAmt 7,odoAmt 8,odoAmt 9,odoAmt 10,odoAmt 11,odoAmt 12,odoAmt 13,odoAmt 14,odoAmt 15,odoAmt 16,odoAmt 17,odoAmt 18,odoAmt 19,odoAmt 20,odoAmt 21,odoAmt 22,odoAmt 23,odoAmt 24,odoAmt 25,odoAmt 26,odoAmt 27,odoAmt 28,odoAmt 29
Odorscene1,9.557586874225457e-46,1.4383166538468107e-21,2.356353451109257e-32,2.7405172859986394e-125,2.899220531340923e-22,4.5182871581772155e-190,1.2906844164120008e-18,7.694219421494554e-142,3.346082869981689e-75,1.0832865718710505e-83,7.965946340404934e-31,6.246289209584903e-200,6.655317552188451e-34,1.9619251106227677e-45,1.7458325477821434e-34,1.0390078996880264e-123,1.4231149258750962e-46,6.863843249290639e-67,1.203443692293687e-60,8.701454014332691e-38,2.979420456163707e-38,1.9963715179675372e-39,4.75893133751865e-84,2.051798726442052e-48,1.5133124271731757e-126,2.2111489038670148e-245,1.1691067295437764e-39,3.903447027489031e-56,5.011105476175334e-124,2.1481851488574552e-128,9.999999999e-11,1.0000000013432771e-10,9.999999999e-11,9.999999999e-11,1.0000169201705063e-10,9.999999999e-11,1.0000000419868292e-10,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.99999999900311e-11,9.999999999e-11,9.999999999000082e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999011357e-11,9.999999999000015e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,9.9999999990006e-11,9.999999999e-11,9.999999999e-11,9.999999999e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odorscene2,2.113804019813483e-87,1.780732391198542e-76,3.257884363847678e-13,9.073525107638343e-79,1.2874131288719254e-38,2.5411687855334392e-28,6.994825549459899e-47,4.1638611697601337e-38,1.0223711234009561e-23,1.617548494709408e-65,1.1525550654002804e-23,5.261087957815878e-35,6.06140964697898e-28,1.9801932451088724e-28,6.412756384764191e-19,7.333088443765499e-14,4.420069119298979e-17,9.229244175900754e-49,7.118290907848579e-37,1.3890277627474884e-18,1.928148023068186e-66,8.9293578068548e-19,9.513713592070831e-21,0.0010304400962864795,4.369821594165412e-30,2.5484289833135677e-26,1.0868391835867497e-41,7.655573822367656e-105,3.0708251660088414e-14,1.9720307643286688e-107,1.9999999996e-10,1.9999999996e-10,3.5499694736052464e-10,1.9999999996e-10,1.9999999996e-10,1.9999999996e-10,1.9999999996e-10,1.9999999996e-10,2.0000015299631715e-10,1.9999999996e-10,2.0000000029973231e-10,1.9999999996e-10,1.9999999996057575e-10,1.9999999996e-10,2.0000197848556908e-10,2.0174720564232142e-10,2.000010483715668e-10,1.9999999996e-10,1.9999999996e-10,2.0037829598915813e-10,1.9999999996e-10,2.0027393929655325e-10,2.0000000001283508e-10,0.0017516594531581425,2.000000002570953e-10,1.9999999996e-10,1.9999999996e-10,1.9999999996e-10,2.381916028516885e-10,1.9999999996e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odorscene3,6.413723326461328e-40,1.149707700331795e-20,8.783030813318634e-16,1.087373083547271e-35,9.143776879307302e-27,1.69911968281513e-25,1.2580524466736944e-21,2.5299007889415422e-31,6.369480431879896e-16,1.7829521764636683e-123,7.280555839190738e-17,3.6833930192524605e-46,4.612004647404236e-88,4.0960443933506036e-17,2.074513912910246e-68,4.527080638030774e-24,5.351932886956732e-21,1.1062951561506297e-39,0.49999999995,4.812831049382933e-15,4.258739145650338e-48,5.951412473358365e-51,9.675956028117038e-68,1.8204883967628524e-136,3.8521860601119e-05,1.9870388148181027e-39,1.843594930932354e-12,1.1608490470117867e-15,1.147104628116399e-17,2.349012295409658e-85,2.9999999991e-10,3.0000000049896785e-10,3.0000766063966197e-10,2.9999999991e-10,3.000000526250873e-10,3.0000000105506437e-10,3.0000058705460463e-10,2.999999999100001e-10,3.013952421127022e-10,2.9999999991e-10,3.0006016171874466e-10,2.9999999991e-10,2.9999999991e-10,3.000088600616122e-10,2.9999999991e-10,2.99999999910005e-10,3.0000000248529713e-10,2.9999999991e-10,0.50000000005,3.000403256896554e-10,2.9999999991e-10,2.9999999991e-10,2.9999999991e-10,2.9999999991e-10,8.013412019907414e-05,2.9999999991e-10,6.836575911604648e-10,3.0016602242397597e-10,3.011606810569248e-10,2.9999999991e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odorscene4,4.649115278009558e-16,2.6682734747811468e-89,4.465357193004041e-22,6.189320456392004e-56,7.065833733077747e-76,3.594552060056212e-17,3.8081657799858746e-18,1.2969458615121296e-14,1.230229552574228e-46,1.8926589894561426e-13,4.295744255098687e-65,6.415580484390842e-12,3.632744397268241e-47,3.6460703509322995e-10,8.850830835158895e-12,1.4611003286810828e-38,6.749415480342321e-17,2.045662825898353e-20,6.629897255696798e-33,5.641435821457713e-17,5.0974315205274686e-14,2.1130711591297644e-30,1.299722820917112e-19,1.0191522536697178e-08,4.27593598790349e-49,7.1681289739809445e-59,3.6375918882296456e-92,1.2817071007444652e-47,6.131660053746224e-40,2.293772106420677e-26,4.0000534331378073e-10,3.9999999984e-10,4.000042883179095e-10,3.9999999984e-10,3.9999999984e-10,4.0182052037135793e-10,4.0000002476085694e-10,4.053978729464404e-10,3.9999999984e-10,4.305435894302227e-10,3.9999999984e-10,4.995461307990816e-10,3.9999999984e-10,2.5623895521328386e-09,5.84626029165686e-10,3.9999999984000095e-10,4.000383879586592e-10,4.000199402201539e-10,3.9999999984e-10,4.0071785632885836e-10,4.032420514958251e-10,3.9999999984e-10,4.0000000713436425e-10,6.271644955087621e-08,3.9999999984e-10,3.9999999984e-10,3.9999999984e-10,3.9999999984e-10,3.9999999984e-10,4.000000085236164e-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odorscene5,4.58953551295694e-61,2.316121459297977e-14,2.992243432363949e-20,9.129045676983398e-11,0.005876573182643353,2.8542066385583482e-37,6.6535347505590876e-49,1.7853221112892644e-24,1.3344650763089818e-05,1.169167326520666e-23,1.3336341619702178e-24,8.180952550658099e-14,2.0576395105293412e-22,1.2252961338217324e-15,4.278811403876631e-22,4.631962899789774e-21,7.982106897757752e-15,1.456359093312535e-21,5.708273421476596e-13,1.3283083025431124e-14,4.530979192232625e-25,5.992289599498992e-13,5.786409023510669e-16,6.103628878388979e-26,1.3353433409229952e-32,3.510510300986074e-27,3.954237599366151e-20,1.1288939290987657e-46,5.489885628903631e-19,1.3111238209105435e-24,4.9999999975e-10,5.132103962935054e-10,4.999999998175671e-10,4.597972154262232e-09,0.0075417073511389815,4.9999999975e-10,4.9999999975e-10,5.000000002938871e-10,2.382332646739259e-05,5.000000023330613e-10,5.000000000431519e-10,5.015840869708207e-10,4.999999997506846e-10,5.000096557514351e-10,5.000014351985675e-10,5.000000098580723e-10,5.010660055493011e-10,5.000014328529838e-10,5.151565964412053e-10,5.083515722476031e-10,4.999999997500007e-10,6.264074383323777e-10,5.000158842004226e-10,4.999999997500032e-10,4.999999997500197e-10,4.9999999975e-10,4.999999999279331e-10,4.9999999975e-10,5.000271764184496e-10,4.999999997500066e-10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odorscene6,1.8669461253721803e-18,5.668796493774618e-28,4.083325431182755e-41,5.8712694353296966e-24,1.541195044437415e-14,2.4093113649749355e-11,4.3903495076726634e-13,1.2822710788216582e-68,4.285542334842471e-17,2.9977759455788544e-24,8.628676278573686e-14,9.006195181693006e-32,3.978421950141441e-24,9.09671568765926e-23,8.151159707825967e-32,1.7382190735204852e-19,3.069780963706293e-29,1.6497561373017087e-16,3.1237024072433495e-12,3.920318528245128e-33,2.0157769425013e-11,8.696567039404494e-14,8.034305381974672e-22,5.261245774703111e-22,2.6529947034120665e-13,1.509988104051532e-18,8.244591880234657e-30,7.353240362668374e-20,1.8825340344534152e-29,1.0497510542882191e-19,7.000187990740293e-10,6.999999995126494e-10,6.9999999951e-10,7.000002432137557e-10,7.001378763496864e-10,1.0784929283022888e-09,7.175987117205909e-10,6.9999999951e-10,7.021136726943425e-10,6.999999995101224e-10,7.018599586019342e-10,6.9999999951e-10,6.999999995138019e-10,7.000006622443711e-10,6.9999999951e-10,7.00066377245138e-10,6.9999999951e-10,7.0049739492004e-10,7.47289739318091e-10,6.9999999951e-10,2.13416763700132e-09,7.010278964337336e-10,7.000000008830519e-10,7.000027442267993e-10,7.212641892610805e-10,7.000001178069863e-10,6.999999995100213e-10,7.000113958045114e-10,6.999999995100031e-10,7.000015626237337e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odorscene7,7.114485537363528e-23,3.061298441926951e-17,3.153256635209506e-23,4.319229222969553e-16,5.773617726392501e-29,3.454985430063919e-34,8.178032865912933e-13,1.1418252343921367e-12,2.5868310769157425e-19,1.0367219380832588e-19,7.797205677642228e-21,2.451395401937078e-22,1.1444191466547354e-37,1.7513780790938958e-11,9.253365757970386e-29,3.004233114700825e-14,9.490889061115085e-25,1.9351740907391445e-21,3.0162333026616324e-12,0.0017193023980217905,2.625427022695272e-12,4.938270758998415e-13,8.55218749671311e-21,3.0546763472379785e-29,1.9824709389769488e-23,3.237585941954299e-13,1.2447808843761907e-06,4.3318479630344515e-35,1.5075483504532727e-13,1.0411415982708005e-45,1.0000021495426489e-09,1.0000297297318243e-09,1.0000000078160317e-09,1.0059386003993505e-09,9.999999993924142e-10,9.999999990000001e-10,1.119679548785423e-09,1.3089078301383572e-09,1.000000039572829e-09,1.0000013224430899e-09,9.99999999303977e-10,9.999999990852682e-10,9.999999990000001e-10,1.3274542778408487e-09,9.999999990000001e-10,1.0018340976639147e-09,1.000000006889368e-09,9.999999990540113e-10,1.3161309271937469e-09,0.0024528721638645166,1.3782090436520808e-09,1.030883406405359e-09,1.0000003720579326e-09,9.999999990000001e-10,9.999999990171577e-10,1.052919656569818e-09,5.747357281311555e-06,9.999999990010628e-10,1.0019366381541286e-09,9.999999990000001e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Odorscene8,7.660584170131291e-15,6.855928687737645e-05,3.444348283072572e-10,3.218376160570902e-25,6.485709757267094e-26,3.508067437687859e-08,9.663009410984769e-15,1.0750637159680455e-11,1.4052229641897765e-24,1.1728584234220628e-17,3.4631840004897017e-09,3.5780479767082946e-11,1.2287226729947761e-14,1.2803421609952877e-15,1.379542720527732e-13,1.7659605735974167e-13,2.7302406557318288e-12,1.2364929774970603e-14,1.485863111174911e-15,8.062153026148303e-23,2.0848976075001285e-13,2.2101061902609203e-15,2.1010222954309523e-15,4.9690202586527995e-15,6.449210696323885e-12,1.5292865786032749e-15,2.1686882379339602e-06,6.57644749869664e-16,3.8814541342289465e-10,1.2190403131347126e-22,1.5009133249960797e-09,0.00014906560301892249,5.233181891257917e-09,1.4999999977597126e-09,1.499999997750892e-09,2.779602195218094e-07,1.5035793367280836e-09,1.632489191282966e-09,1.4999999977500276e-09,1.500446808348021e-09,2.5642571519158533e-08,3.4129137707649957e-09,1.503285943076842e-09,1.5077485749259655e-09,1.6058122245846852e-09,1.502458023286322e-09,1.8209311920671365e-09,1.5006981571858456e-09,1.5000103389675085e-09,1.5000010625272017e-09,1.5025390666525627e-09,1.500016623693884e-09,1.5006438180422564e-09,1.5023152561228955e-09,1.6191715571148726e-09,1.5095415937947376e-09,7.066691792468323e-06,1.5003997787542016e-09,3.828516339074751e-09,1.5000000022117426e-09,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odorscene9,3.4132167745792214e-14,3.831587494041693e-23,2.991110544272036e-15,3.582015526060969e-11,2.6773491831797024e-15,5.172327812341163e-25,8.192194680542911e-19,1.3901341979756615e-11,1.0383552172563567e-11,8.940161507184774e-17,1.419494733553734e-14,1.6484612010894199e-13,6.054470575303039e-10,1.2007227072446616e-18,1.669120449517739e-06,6.843150429265124e-17,1.7157397887763898e-13,8.245003705692941e-14,2.266837968095821e-17,9.414482148100786e-12,2.1134192312356727e-11,3.270972269194609e-16,1.5727490274891739e-16,9.497070894671868e-05,3.5345429014434514e-07,1.9114953561016158e-14,2.155461535677147e-15,6.232325104827961e-18,3.688224054205631e-15,2.5430392636041314e-14,2.0003398691559484e-09,1.9999999960277225e-09,2.0001472916044186e-09,2.983613526797648e-09,2.000051965506405e-09,1.999999996049232e-09,2.0002857341043037e-09,2.3856658253929732e-09,2.510199714999174e-09,2.0026568061028397e-09,2.026058128040992e-09,2.0753303930509676e-09,1.2601456888350901e-08,2.0000137794235005e-09,6.5035306272364915e-06,2.000004923245745e-09,2.054485562104098e-09,2.0180459143661875e-09,2.0000480764193432e-09,2.204380858940306e-09,2.4975469055709197e-09,2.001141013377622e-09,2.000021614955119e-09,0.00021738827040713703,1.8166982919038487e-06,2.000815678887896e-09,2.011679746799288e-09,2.0001280419640876e-09,2.004112555718196e-09,2.0049879077239155e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Odorscene10,1.8738926103133902e-10,9.368963608168615e-14,9.090322345828198e-14,4.223819310292311e-15,0.0002860109562547124,1.6898013959982998e-13,0.0041070802343842,6.989282595299539e-10,1.0626194282660212e-16,1.9500490034232692e-16,6.281003345444271e-05,3.728417545131516e-15,1.286249879190108e-06,8.885702706503192e-13,1.2585595869219128e-13,1.4778570754578719e-05,3.676876369548928e-12,3.617611198358079e-14,3.8622629893658104e-11,4.125045815849579e-17,2.313142971472534e-12,3.9358677516185646e-11,5.917607574654882e-14,2.0094505166927371e-22,6.1775568587555e-09,4.749615790414605e-17,7.0442368274162306e-12,5.817771586195299e-15,1.1304363939574136e-12,2.0020659257230585e-14,3.964085489056365e-09,2.578955129570097e-09,2.5106253383178695e-09,2.5025018122970297e-09,0.0005555518733698489,2.519455788114878e-09,0.006255044535756687,8.173524849476247e-09,2.5000032303952854e-09,2.5012593699161987e-09,0.00015918704411576817,2.5006248174753235e-09,3.467072816751502e-06,2.5130984964329762e-09,2.594312105942376e-09,3.1243185883305566e-05,2.7147563323893933e-09,2.5030263140006657e-09,3.027757234211705e-09,2.5000008024466723e-09,3.18855271528111e-09,4.449869764520811e-09,2.5007361921878464e-09,2.5000053077049836e-09,3.436087184614643e-08,2.5007072513800174e-09,2.728944762504921e-09,2.500318212240174e-09,2.737816472088575e-09,2.502902721013697e-09,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
