Odorscenes, dPsiBar
1,0.015207304970562415
2,0.010337946006610097
3,0.015159747865787773
4,0.013139640285688984
5,0.01627541777596831
7,0.025648842445292405
10,0.020238539527555863
15,0.021765997613892772
20,0.0308611403574117
25,0.030076188799545024
30,0.037518392343385096
35,0.028633206869541322
40,0.04152648238645368
45,0.0347270798851216
50,0.04436194459693456
60,0.048090570208771874
70,0.050456446022373244
80,0.0414891006438097
90,0.04058526056820074
100,0.04208368777801472
120,0.03601230035466786
140,0.035823475755197766
160,0.03300000956500687
200,0.046279220058149884
250,0.03637702102743859
300,0.01713747409312373
350,0.02481822468941775
400,0.017252165978755486
